code_insee,nb_accidents,nb_accidents_graves,nb_accidents_mortels,gravite_moyenne,age_moyen_victimes,lat_moyenne,long_moyenne,nb_accidents_nuit,nb_accidents_pluie,nb_accidents_mouille,annee_min,annee_max,taux_accidents_graves,taux_accidents_mortels,nom_commune,nb_amenagements,longueur_totale_amenagements,longueur_moyenne_amenagement,nb_voies_principales,nb_voies_residentielles,nb_pistes_cyclables,nb_double_sens,nb_sens_unique,nb_asphalt,nb_autres_revetements,ratio_pistes_cyclables,ratio_double_sens,nb_compteurs,comptage_total_commune,comptage_moyen_commune,comptage_max_commune,nom_commune_pop,population,departement,ratio_amenagements_par_accident,longueur_amenagement_par_accident,taux_risque_par_km,taux_risque_par_habitant,taux_risque_grave_par_habitant,densite_pop_amenagement,risque_eleve,categorie_risque,est_paris
95288,3,0,0,4.0,26.0,48.98533333333334,2.3572333333333333,0,0,0,2014.0,2017.0,0.0,0.0,Groslay,54.0,4777.0,88.46296296296296,6.0,18.0,3.0,22.0,13.0,15.0,39.0,0.05555555555555555,0.4074074074074074,30.0,36271287.0,93.18977141322965,1032.0,Groslay,8416,95,18.0,1592.3333333333333,0.6280092108017584,3.564638783269962,0.0,1761.775172702533,0,Faible,0
95295,2,0,0,3.5,54.0,49.1063,1.8477,0,0,0,2017.0,2017.0,0.0,0.0,Guiry-en-Vexin,16.0,2339.0,146.1875,3.0,11.0,0.0,16.0,0.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Guiry-en-Vexin,142,95,8.0,1169.5,0.8550662676357418,140.8450704225352,0.0,60.70970500213767,0,Faible,0
95298,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Haravilliers,3.0,1620.0,540.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,Haravilliers,577,95,3.0,1620.0,0.0,0.0,0.0,356.1728395061728,0,Très faible,0
95301,1,0,0,3.0,69.0,,,0,0,0,2019.0,2019.0,0.0,0.0,Haute-Isle,11.0,1474.0,134.0,8.0,3.0,0.0,8.0,3.0,9.0,2.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,Haute-Isle,290,95,11.0,1474.0,0.6784260515603799,34.48275862068965,0.0,196.74355495251018,0,Très faible,0
95303,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Le Heaulme,8.0,1985.0,248.125,5.0,3.0,0.0,8.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Le Heaulme,205,95,8.0,1985.0,0.0,0.0,0.0,103.27455919395466,0,Très faible,0
95304,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Hédouville,38.0,4249.0,111.8157894736842,0.0,29.0,0.0,37.0,0.0,36.0,2.0,0.0,0.9736842105263158,0.0,0.0,0.0,0.0,Hédouville,279,95,38.0,4249.0,0.0,0.0,0.0,65.66250882560603,0,Très faible,0
95306,30,4,3,3.5,37.827586206896555,9.798659333333335,0.43265666666666663,2,2,2,2005.0,2013.0,0.13333333333333333,0.1,Herblay,324.0,54938.0,169.56172839506172,31.0,149.0,37.0,148.0,73.0,83.0,241.0,0.11419753086419752,0.4567901234567901,0.0,0.0,0.0,0.0,Herblay,31605,95,10.8,1831.2666666666667,0.5460701154028177,9.492168960607499,1.2656225280809998,575.2848665768685,1,Élevé,0
95308,1,0,0,3.0,50.0,0.0,0.0,0,0,0,2008.0,2008.0,0.0,0.0,Hérouville,19.0,3494.0,183.89473684210526,2.0,16.0,0.0,19.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hérouville,573,95,19.0,3494.0,0.28620492272467085,17.452006980802793,0.0,163.9954207212364,0,Très faible,0
95313,19,0,0,3.6315789473684212,49.1578947368421,28.06429857142857,1.2760642857142857,3,0,0,2005.0,2021.0,0.0,0.0,L'Isle-Adam,62.0,17686.0,285.258064516129,3.0,4.0,14.0,13.0,9.0,21.0,41.0,0.22580645161290322,0.20967741935483872,0.0,0.0,0.0,0.0,L' Isle-Adam,11846,95,3.263157894736842,930.8421052631579,1.0742960533755512,16.03916933986156,0.0,669.7953183308832,1,Modéré,0
95316,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Jagny-sous-Bois,17.0,2541.0,149.47058823529412,6.0,9.0,0.0,13.0,4.0,17.0,0.0,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,Jagny-sous-Bois,272,95,17.0,2541.0,0.0,0.0,0.0,107.04447068083432,0,Très faible,0
95323,3,0,0,3.0,34.666666666666664,0.0,0.0,0,2,0,2007.0,2023.0,0.0,0.0,Jouy-le-Moutier,791.0,62781.0,79.36915297092288,38.0,193.0,4.0,374.0,74.0,575.0,216.0,0.0050568900126422255,0.47281921618204803,0.0,0.0,0.0,0.0,Jouy-le-Moutier,17175,95,263.6666666666667,20927.0,0.04778515792994696,1.7467248908296942,0.0,273.57002914894633,0,Faible,0
95328,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Labbeville,48.0,7741.0,161.27083333333334,16.0,17.0,0.0,36.0,11.0,41.0,7.0,0.0,0.75,0.0,0.0,0.0,0.0,Labbeville,643,95,48.0,7741.0,0.0,0.0,0.0,83.06420359126729,0,Très faible,0
95341,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Livilliers,28.0,2883.0,102.96428571428571,8.0,7.0,0.0,28.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Livilliers,384,95,28.0,2883.0,0.0,0.0,0.0,133.1945889698231,0,Très faible,0
95348,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Longuesse,17.0,1279.0,75.23529411764706,6.0,0.0,0.0,16.0,0.0,7.0,10.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,Longuesse,520,95,17.0,1279.0,0.0,0.0,0.0,406.56763096168885,0,Très faible,0
95351,5,1,0,3.2,42.4,49.052499999999995,2.4965,1,0,0,2005.0,2023.0,0.2,0.0,Louvres,110.0,15174.0,137.94545454545454,13.0,34.0,27.0,35.0,28.0,61.0,49.0,0.24545454545454545,0.3181818181818182,0.0,0.0,0.0,0.0,Louvres,12083,95,22.0,3034.8,0.3295110056675893,4.1380451874534465,0.8276090374906894,796.2962962962963,0,Faible,0
95352,5,0,0,3.8,48.6,,,1,1,0,2020.0,2023.0,0.0,0.0,Luzarches,48.0,6652.0,138.58333333333334,14.0,21.0,0.0,19.0,24.0,29.0,19.0,0.0,0.3958333333333333,0.0,0.0,0.0,0.0,Luzarches,4867,95,9.6,1330.4,0.751653638003608,10.273268954181221,0.0,731.659651232712,0,Faible,0
95353,1,0,0,3.0,6.0,49.081,2.312,1,0,0,2008.0,2008.0,0.0,0.0,Maffliers,7.0,919.0,131.28571428571428,3.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,Maffliers,1806,95,7.0,919.0,1.088139281828074,5.537098560354374,0.0,1965.1795429815015,0,Très faible,0
95355,2,0,0,3.5,53.0,,,0,0,0,2021.0,2022.0,0.0,0.0,Magny-en-Vexin,60.0,7217.0,120.28333333333333,5.0,19.0,0.0,32.0,9.0,12.0,48.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,Magny-en-Vexin,5788,95,30.0,3608.5,0.2771234585007621,3.455425017277125,0.0,801.9952889012055,0,Faible,0
95365,1,1,0,2.0,71.0,49.0686,2.4348,0,0,0,2017.0,2017.0,1.0,0.0,Mareil-en-France,21.0,6263.0,298.23809523809524,13.0,1.0,6.0,9.0,10.0,16.0,5.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,Mareil-en-France,717,95,21.0,6263.0,0.1596678907871627,13.94700139470014,13.94700139470014,114.48187769439566,0,Très faible,0
95369,0,0,0,0.0,,,,0,0,0,,,0.0,0.0,Margency,42.0,2760.0,65.71428571428571,19.0,13.0,1.0,18.0,19.0,31.0,11.0,0.023809523809523808,0.42857142857142855,0.0,0.0,0.0,0.0,Margency,2896,95,42.0,2760.0,0.0,0.0,0.0,1049.2753623188407,0,Très faible,0
95370,3,0,0,3.0,51.333333333333336,16.382233333333335,0.9916333333333333,0,0,0,2006.0,2012.0,0.0,0.0,Marines,51.0,6667.0,130.72549019607843,13.0,8.0,0.0,19.0,15.0,10.0,41.0,0.0,0.37254901960784315,0.0,0.0,0.0,0.0,Marines,3422,95,17.0,2222.3333333333335,0.4499775011249438,8.766803039158386,0.0,513.2743362831859,0,Faible,0
